Time (s),Voltage (V)
-1.393137499999985e-05,0.0
-1.3931249999999849e-05,0.0
-1.3931124999999849e-05,0.0
-1.3930999999999848e-05,0.0
-1.3930874999999848e-05,0.0
-1.3930749999999848e-05,0.0
-1.3930624999999848e-05,0.0
-1.3930499999999847e-05,0.0
-1.3930374999999847e-05,0.0
-1.3930249999999847e-05,0.0
-1.3930124999999847e-05,0.0
-1.3929999999999846e-05,0.0
-1.3929874999999846e-05,0.0
-1.3929749999999846e-05,0.0
-1.3929624999999845e-05,0.0
-1.3929499999999845e-05,0.0
-1.3929374999999845e-05,0.0
-1.3929249999999845e-05,0.0
-1.3929124999999844e-05,0.0
-1.3928999999999844e-05,0.0
-1.3928874999999844e-05,0.0
-1.3928749999999844e-05,0.0
-1.3928624999999843e-05,0.0
-1.3928499999999843e-05,0.0
-1.3928374999999843e-05,0.0
-1.3928249999999842e-05,0.0
-1.3928124999999842e-05,0.0
-1.3927999999999842e-05,0.0
-1.3927874999999842e-05,0.0
-1.3927749999999841e-05,0.0
-1.3927624999999841e-05,0.0
-1.392749999999984e-05,0.0
-1.392737499999984e-05,0.0
-1.392724999999984e-05,0.0
-1.392712499999984e-05,0.0
-1.392699999999984e-05,0.0
-1.392687499999984e-05,0.0
-1.392674999999984e-05,0.0
-1.3926624999999839e-05,0.0
-1.3926499999999839e-05,0.0
-1.3926374999999838e-05,0.0
-1.3926249999999838e-05,0.0
-1.3926124999999838e-05,0.0
-1.3925999999999838e-05,0.0
-1.3925874999999837e-05,0.0
-1.3925749999999837e-05,0.0
-1.3925624999999837e-05,0.0
-1.3925499999999836e-05,0.0
-1.3925374999999836e-05,0.0
-1.3925249999999836e-05,0.0
-1.3925124999999836e-05,0.0
-1.3924999999999835e-05,0.0
-1.3924874999999835e-05,0.0
-1.3924749999999835e-05,0.0
-1.3924624999999835e-05,0.0
-1.3924499999999834e-05,0.0
-1.3924374999999834e-05,0.0
-1.3924249999999834e-05,0.0
-1.3924124999999833e-05,0.0
-1.3923999999999833e-05,0.0
-1.3923874999999833e-05,0.0
-1.3923749999999833e-05,0.0
-1.3923624999999832e-05,0.0
-1.3923499999999832e-05,0.0
-1.3923374999999832e-05,0.0
-1.3923249999999831e-05,0.0
-1.3923124999999831e-05,0.0
-1.3922999999999831e-05,0.0
-1.392287499999983e-05,0.0
-1.392274999999983e-05,0.0
-1.392262499999983e-05,0.0
-1.392249999999983e-05,0.0
-1.392237499999983e-05,0.0
-1.392224999999983e-05,0.0
-1.3922124999999829e-05,0.0
